query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM airqualityuci WHERE f14 = 54.7 AND f9 < 1010.0 AND f13 = 11.8 AND f8 = 214.0;,1.0,0,1.0,1.7136940005002543,0,0.0
1,SELECT COUNT(*) FROM airqualityuci WHERE f2 < 10.0 AND f8 = -200.0;,683.6816360987582,876,1.2812981272959938,1.0752859998319764,0,0.0
2,SELECT COUNT(*) FROM airqualityuci WHERE f10 <= 103.0;,5156.999999999998,5157,1.0000000000000004,0.9921689998009242,0,0.0
3,SELECT COUNT(*) FROM airqualityuci WHERE f11 > 974.0 AND f3 < -200.0 AND f10 = 72.0 AND f1 <= 31.0 AND f9 <= 770.0;,1.0,0,1.0,1.8068129975290503,0,0.0
4,SELECT COUNT(*) FROM airqualityuci WHERE f14 <= 44.4 AND f4 > 746.0 AND f9 >= 873.0 AND f15 = 1.045 AND f11 >= 1014.0;,1.0,0,1.0,1.3343960017664358,0,0.0
5,SELECT COUNT(*) FROM airqualityuci WHERE f13 > 14.9 AND f4 = 847.0 AND f9 <= 578.0;,1.0,0,1.0,0.9418269983143546,0,0.0
6,SELECT COUNT(*) FROM airqualityuci WHERE f14 <= 44.4;,3941.9999999999914,3942,1.0000000000000022,0.5201120002311654,0,0.0
7,SELECT COUNT(*) FROM airqualityuci WHERE f1 > 359.0;,744.0000000000125,744,1.0000000000000169,0.3497750003589317,0,0.0
8,SELECT COUNT(*) FROM airqualityuci WHERE f4 <= 1141.4 AND f1 <= 371.0;,5791.73517962411,5786,1.0009912166650725,0.5536910030059516,0,0.0
9,SELECT COUNT(*) FROM airqualityuci WHERE f2 >= 21.0 AND f10 > 94.0 AND f11 >= 1390.0 AND f4 <= 773.0;,1.1089710910563575,0,1.1089710910563575,1.3600950005638879,0,0.0
10,SELECT COUNT(*) FROM airqualityuci WHERE f3 > 1.0;,5812.999999999996,5813,1.0000000000000007,0.7446999989042524,0,0.0
11,SELECT COUNT(*) FROM airqualityuci WHERE f1 <= 250.0;,5997.000000000016,5997,1.0000000000000027,0.33660199915175326,0,0.0
12,SELECT COUNT(*) FROM airqualityuci WHERE f11 <= 1243.24 AND f9 < 919.0;,1652.5525755477597,1589,1.0399953275945624,0.9195230013574474,0,0.0
13,SELECT COUNT(*) FROM airqualityuci WHERE f7 > 924.0 AND f11 <= 1488.0;,1443.0750271560723,1028,1.4037694816693311,3.662303999590222,0,0.0
14,SELECT COUNT(*) FROM airqualityuci WHERE f1 >= 312.8 AND f5 < -200.0;,1.0,0,1.0,0.43137800093973055,0,0.0
15,SELECT COUNT(*) FROM airqualityuci WHERE f7 = 1179.0 AND f14 > 28.3;,5.824977618621322,6,1.0300468762007198,3.702138998050941,0,0.0
16,SELECT COUNT(*) FROM airqualityuci WHERE f4 > 988.0 AND f8 >= 368.0;,1446.2628246416077,1460,1.0094983948452083,1.047423000272829,0,0.0
17,SELECT COUNT(*) FROM airqualityuci WHERE f7 < 639.0 AND f2 < 18.0 AND f14 = 17.0;,1.1947881511140774,0,1.1947881511140774,3.3115240003098734,0,0.0
18,SELECT COUNT(*) FROM airqualityuci WHERE f6 = 3.5 AND f10 = 119.0 AND f8 <= 39.0;,1.0,0,1.0,4.3924590027017985,0,0.0
19,SELECT COUNT(*) FROM airqualityuci WHERE f11 < 1390.0 AND f3 < 3.2;,3814.598809477033,3835,1.0053481877235118,1.0262729992973618,0,0.0
20,SELECT COUNT(*) FROM airqualityuci WHERE f3 = 3.3 AND f12 <= 753.0;,4.80487804878048,4,1.20121951219512,1.0109040013048798,0,0.0
21,SELECT COUNT(*) FROM airqualityuci WHERE f10 > 21.0 AND f2 = 2.0 AND f7 < 802.0 AND f1 <= 371.0;,103.35162906907965,239,2.3124937860462147,3.9873720015748404,0,0.0
22,SELECT COUNT(*) FROM airqualityuci WHERE f7 >= 1026.0 AND f14 < 59.6 AND f10 < -200.0;,1.0,0,1.0,3.9047749996825587,0,0.0
23,SELECT COUNT(*) FROM airqualityuci WHERE f8 = 460.0 AND f9 > 1046.0;,1.0,0,1.0,1.192121002532076,0,0.0
24,SELECT COUNT(*) FROM airqualityuci WHERE f4 > 790.0 AND f15 <= 0.87 AND f12 < 1072.0;,2057.260633999808,1864,1.103680597639382,1.2116230027459096,0,0.0
25,SELECT COUNT(*) FROM airqualityuci WHERE f1 >= 105.0;,6846.000000000075,6846,1.0000000000000109,0.321968000207562,0,0.0
26,SELECT COUNT(*) FROM airqualityuci WHERE f9 >= 560.0 AND f10 <= 44.0 AND f3 = 1.4;,62.641113181657154,14,4.4743652272612255,1.3570189985330217,0,0.0
27,SELECT COUNT(*) FROM airqualityuci WHERE f3 >= 1.5 AND f10 > -200.0 AND f1 > 316.0 AND f13 > 21.4 AND f8 >= 118.0;,239.93728536611567,193,1.24319836977262,2.052911000646418,0,0.0
28,SELECT COUNT(*) FROM airqualityuci WHERE f2 = 14.0 AND f15 > 0.996;,186.68802135469235,175,1.066788693455385,0.6762850025552325,0,0.0
29,SELECT COUNT(*) FROM airqualityuci WHERE f13 > 17.2 AND f6 <= 21.5;,4206.326548656684,4210,1.0008733157782268,3.863003999867942,0,0.0
30,SELECT COUNT(*) FROM airqualityuci WHERE f14 > 52.6;,3915.00000000005,3915,1.0000000000000129,0.4879910011368338,0,0.0
31,SELECT COUNT(*) FROM airqualityuci WHERE f10 <= 101.0 AND f1 > 309.0 AND f15 > 1.424 AND f11 > 1014.0;,186.70936071457817,237,1.2693525332256959,1.699485001154244,0,0.0
32,SELECT COUNT(*) FROM airqualityuci WHERE f5 >= -200.0;,9356.999999999938,9357,1.0000000000000067,0.3194150012859609,0,0.0
33,SELECT COUNT(*) FROM airqualityuci WHERE f15 <= 1.112 AND f12 = 1095.0 AND f14 = 26.7 AND f10 > 124.0;,1.0,0,1.0,1.6417430015280843,0,0.0
34,SELECT COUNT(*) FROM airqualityuci WHERE f10 < -200.0 AND f2 > 22.0 AND f8 = 232.0;,1.0,0,1.0,1.291685999603942,0,0.0
35,SELECT COUNT(*) FROM airqualityuci WHERE f5 = -200.0 AND f1 = 118.0 AND f6 >= 4.1 AND f15 <= 1.559;,14.81323629128705,22,1.4851582441130782,3.813900002569426,0,0.0
36,SELECT COUNT(*) FROM airqualityuci WHERE f15 >= 1.579 AND f4 <= 948.0 AND f6 < 4.8 AND f7 < 924.0;,161.75815211230486,165,1.0200413261734371,5.9970420006720815,0,0.0
37,SELECT COUNT(*) FROM airqualityuci WHERE f15 >= 1.178 AND f6 > 2.0 AND f4 < 999.0 AND f3 <= 0.3 AND f12 >= 1109.0;,7.4547434611105095,2,3.7273717305552547,4.269294000550872,0,0.0
38,SELECT COUNT(*) FROM airqualityuci WHERE f14 = 50.0 AND f7 >= 1038.0;,8.262063065751512,8,1.032757883218939,3.3933480008272454,0,0.0
39,SELECT COUNT(*) FROM airqualityuci WHERE f8 > 355.92 AND f6 >= 20.8 AND f2 >= 18.0 AND f1 = 172.0 AND f5 < -200.0;,1.0,0,1.0,3.9785330009181052,0,0.0
40,SELECT COUNT(*) FROM airqualityuci WHERE f8 < 87.0 AND f4 > 832.16 AND f1 > 242.0 AND f5 = -200.0;,923.4721110004734,783,1.1794024406136314,1.2586419979925267,0,0.0
41,SELECT COUNT(*) FROM airqualityuci WHERE f2 <= 7.0 AND f11 < 1324.0 AND f4 <= 773.0;,149.2936783895006,257,1.7214392650270052,0.8610309996583965,0,0.0
42,SELECT COUNT(*) FROM airqualityuci WHERE f12 = 932.0 AND f1 = 367.0 AND f3 = 2.3 AND f4 <= 921.0 AND f5 < 103.64;,1.0,0,1.0,1.2904469986096956,0,0.0
43,SELECT COUNT(*) FROM airqualityuci WHERE f7 < 924.0;,5045.0,5045,1.0,3.289838998171035,0,0.0
44,SELECT COUNT(*) FROM airqualityuci WHERE f8 = 153.0 AND f4 = 1241.0 AND f11 <= 1426.0 AND f1 < 180.0;,1.0,0,1.0,1.4724270004080608,0,0.0
45,SELECT COUNT(*) FROM airqualityuci WHERE f12 > 1491.0;,1213.999999999997,1214,1.0000000000000024,0.5372199993871618,0,0.0
46,SELECT COUNT(*) FROM airqualityuci WHERE f4 >= 868.0 AND f7 >= 1085.0;,2528.352171326589,2529,1.0002562256479766,3.357517998665571,0,0.0
47,SELECT COUNT(*) FROM airqualityuci WHERE f15 = 0.968 AND f12 > 567.0 AND f1 >= 238.0;,1.0,0,1.0,1.0176439973292872,0,0.0
48,SELECT COUNT(*) FROM airqualityuci WHERE f7 > 768.0 AND f13 > 19.7 AND f5 = -200.0 AND f8 < 129.0 AND f1 < 254.0;,577.8992486333925,1051,1.818656110879862,4.57557199842995,0,0.0
49,SELECT COUNT(*) FROM airqualityuci WHERE f15 = 1.178 AND f12 > 1666.0 AND f9 <= 692.0 AND f11 = 1634.0 AND f8 = 111.0;,1.0,0,1.0,1.869546998932492,0,0.0
50,SELECT COUNT(*) FROM airqualityuci WHERE f9 >= 970.0 AND f15 <= 0.923;,1015.1163015115204,1212,1.1939518636389912,0.7742690031591337,0,0.0
51,SELECT COUNT(*) FROM airqualityuci WHERE f4 = 993.0 AND f5 < -200.0 AND f3 = 1.7 AND f9 = 588.0 AND f12 = 348.0;,1.0,0,1.0,1.302857999689877,0,0.0
52,SELECT COUNT(*) FROM airqualityuci WHERE f1 = 219.0 AND f9 > 980.0 AND f15 > 1.164 AND f14 < 75.4;,1.6188260334530415,0,1.6188260334530415,1.0782659992401022,0,0.0
53,SELECT COUNT(*) FROM airqualityuci WHERE f15 <= 1.265;,6828.999999999993,6829,1.000000000000001,0.6144439976196736,0,0.0
54,SELECT COUNT(*) FROM airqualityuci WHERE f15 <= 0.834 AND f13 < 22.0 AND f7 <= 881.0 AND f5 = -200.0;,1560.0853263048216,1692,1.084556063358168,3.9748320014041383,0,0.0
55,SELECT COUNT(*) FROM airqualityuci WHERE f2 > 20.0 AND f4 < 988.0 AND f7 > 1382.64;,1.0,0,1.0,3.359088001161581,0,0.0
56,SELECT COUNT(*) FROM airqualityuci WHERE f4 < 915.0;,2241.0,2241,1.0,0.4379129968583584,0,0.0
57,SELECT COUNT(*) FROM airqualityuci WHERE f11 >= 1363.0;,5531.999999999988,5532,1.0000000000000022,0.8622770001238678,0,0.0
58,SELECT COUNT(*) FROM airqualityuci WHERE f4 <= 881.0 AND f10 > 141.0 AND f8 = 245.0;,1.0,0,1.0,1.4385510003194213,0,0.0
59,SELECT COUNT(*) FROM airqualityuci WHERE f12 <= 1207.32 AND f4 <= 790.0 AND f15 <= 1.502;,622.6293333333359,654,1.0503841772097642,1.0023720024037175,0,0.0
60,SELECT COUNT(*) FROM airqualityuci WHERE f10 < 129.0 AND f3 < 2.4 AND f9 = 951.0 AND f4 < 1272.0 AND f11 >= 1298.0;,2.6565314892680005,6,2.258584181756973,1.7815179999161046,0,0.0
61,SELECT COUNT(*) FROM airqualityuci WHERE f6 < 7.0 AND f10 < 67.0;,2046.561541341561,2083,1.0178047216867727,3.712888999871211,0,0.0
62,SELECT COUNT(*) FROM airqualityuci WHERE f3 < 1.0;,3238.9999999999995,3239,1.0000000000000002,0.7721939982729964,0,0.0
63,SELECT COUNT(*) FROM airqualityuci WHERE f5 > -200.0;,913.9999999999383,914,1.0000000000000675,0.32723499680287205,0,0.0
64,SELECT COUNT(*) FROM airqualityuci WHERE f14 < 31.2 AND f7 > 938.0 AND f9 < 568.0 AND f12 >= 1291.12;,100.95428849807757,41,2.4622997194653067,3.831628000625642,0,0.0
65,SELECT COUNT(*) FROM airqualityuci WHERE f2 >= 20.0 AND f12 < 1169.0 AND f9 <= 540.0;,77.84234622566467,69,1.1281499452994879,0.7459980006387923,0,0.0
66,SELECT COUNT(*) FROM airqualityuci WHERE f1 = 35.0;,23.999999999999957,24,1.0000000000000018,0.30841599800623953,0,0.0
67,SELECT COUNT(*) FROM airqualityuci WHERE f9 > 658.0 AND f10 < 65.0 AND f8 >= 50.0 AND f3 > 4.0 AND f4 > 1261.0;,1.0,0,1.0,2.0598289993358776,0,0.0
